Result, First, Second
-1, 95, 5
1, 146, 36
1, 60, 57
-1, 184, 165
1, 149, 142
1, 61, 55
-1, 44, 162
1, 143, 172
-1, 89, 41
1, 12, 1
-1, 188, 121
-1, 128, 182
1, 68, 164
1, 191, 139
-1, 88, 84
-1, 136, 93
1, 105, 8
1, 17, 136
1, 96, 107
-1, 175, 127
1, 192, 144
1, 22, 154
-1, 11, 153
-1, 122, 102
1, 44, 158
-1, 138, 162
-1, 45, 190
1, 196, 83
-1, 20, 166
-1, 45, 13
1, 19, 171
-1, 25, 27
-1, 168, 175
-1, 178, 53
1, 136, 128
1, 194, 189
1, 124, 160
1, 71, 163
1, 173, 3
-1, 126, 175
1, 87, 23
-1, 140, 108
-1, 17, 131
-1, 59, 161
-1, 168, 174
1, 179, 71
-1, 41, 178
-1, 92, 40
-1, 138, 13
-1, 140, 26
1, 4, 113
1, 111, 191
1, 194, 1
-1, 67, 43
1, 127, 40
-1, 139, 69
-1, 107, 108
1, 108, 139
1, 127, 85
1, 189, 191
1, 114, 193
-1, 133, 175
1, 112, 63
1, 1, 137
-1, 74, 148
-1, 1, 85
-1, 80, 53
-1, 122, 5
-1, 23, 147
1, 131, 161
-1, 45, 2
-1, 186, 157
-1, 137, 116
1, 182, 53
-1, 195, 90
-1, 128, 81
-1, 113, 54
1, 69, 54
-1, 113, 68
1, 4, 59
-1, 45, 103
1, 52, 83
1, 45, 99
-1, 15, 35
1, 195, 58
1, 10, 134
1, 21, 40
-1, 23, 142
-1, 59, 5
-1, 33, 178
-1, 194, 61
-1, 123, 57
1, 181, 130
-1, 157, 54
-1, 55, 84
1, 87, 194
1, 72, 8
1, 51, 120
1, 155, 74
1, 130, 20
1, 52, 112
1, 54, 55
1, 87, 146
1, 153, 72
1, 96, 37
-1, 69, 170
1, 131, 74
1, 134, 151
1, 60, 160
-1, 141, 27
1, 113, 80
-1, 40, 29
-1, 97, 22
-1, 161, 10
-1, 178, 57
1, 85, 61
1, 137, 158
-1, 169, 94
1, 7, 55
-1, 136, 172
1, 181, 122
1, 190, 192
-1, 20, 22
-1, 179, 29
1, 26, 20
-1, 105, 167
-1, 113, 129
-1, 146, 126
-1, 186, 16
1, 15, 130
-1, 179, 51
-1, 79, 119
1, 105, 129
1, 47, 8
1, 105, 51
-1, 172, 68
1, 20, 93
-1, 59, 6
-1, 183, 100
1, 154, 121
-1, 30, 170
-1, 84, 9
1, 96, 72
1, 22, 128
-1, 75, 93
-1, 114, 22
-1, 1, 25
-1, 159, 188
-1, 178, 150
-1, 101, 29
-1, 137, 156
-1, 93, 132
-1, 128, 42
-1, 116, 193
-1, 50, 141
-1, 33, 109
1, 159, 49
1, 96, 181
-1, 186, 90
1, 196, 188
-1, 122, 60
1, 87, 80
-1, 31, 70
1, 73, 80
-1, 174, 54
-1, 63, 146
-1, 3, 110
-1, 39, 182
-1, 137, 170
1, 93, 58
1, 144, 187
-1, 100, 195
-1, 53, 7
1, 167, 146
1, 125, 126
1, 195, 103
-1, 98, 13
-1, 140, 32
-1, 173, 131
1, 85, 24
1, 144, 70
-1, 83, 55
1, 170, 23
-1, 147, 38
-1, 30, 129
1, 105, 6
1, 71, 186
-1, 35, 33
1, 120, 101
1, 14, 138
1, 34, 184
-1, 179, 33
-1, 46, 108
1, 17, 75
-1, 79, 164
-1, 10, 160
-1, 97, 69
-1, 189, 175
1, 139, 47
1, 154, 110
1, 157, 180
1, 43, 150
1, 91, 76
1, 81, 7
1, 143, 48
1, 173, 34
1, 131, 106
1, 89, 21
1, 39, 163
1, 96, 141
1, 50, 155
1, 103, 88
1, 25, 145
1, 149, 100
1, 145, 101
